Scene Number,Frame Number (Start),Timecode,Start Time (seconds),Length (seconds)
247,13283,00:19:17.409,1157.4093771684861,5.4894821020563995
248,13346,00:19:22.898,1162.8988592705425,1.8298273673519816
249,13367,00:19:24.728,1164.7286866378945,5.4894821020563995
250,13430,00:19:30.218,1170.218168739951,6.36082846746217
251,13503,00:19:36.578,1176.578997207413,3.398250825082414
252,13542,00:19:39.977,1179.9772480324955,2.962577642379756
253,13576,00:19:42.939,1182.9398256748752,5.4023474655157315
254,13638,00:19:48.342,1188.342173140391,8.103521198273711
255,13731,00:19:56.445,1196.4456943386647,6.970770923246164
256,13811,00:20:03.416,1203.4164652619108,2.0040966404333176
257,13834,00:20:05.420,1205.4205619023442,4.966674282812846
258,13891,00:20:10.387,1210.387236185157,6.535097740543279
259,13966,00:20:16.922,1216.9223339257003,4.443866463569293
260,14017,00:20:21.366,1221.3662003892696,1.5684234577304323
261,14035,00:20:22.934,1222.934623847,7.929251925192602
262,14126,00:20:30.863,1230.8638757721926,9.323406109841699
263,14233,00:20:40.187,1240.1872818820343,10.891829567572131
264,14358,00:20:51.079,1251.0791114496064,7.842117288651934
265,14448,00:20:58.921,1258.9212287382584,10.978964204112799
266,14574,00:21:09.900,1269.9001929423712,41.737490902936315
267,15053,00:21:51.637,1311.6376838453075,6.36082846746217
268,15126,00:21:57.998,1317.9985123127697,6.099424557840393
269,15196,00:22:04.097,1324.09793687061,10.630425657950354
270,15318,00:22:14.728,1334.7283625285604,6.709367013624615
271,15395,00:22:21.437,1341.437729542185,8.539194380976596
272,15493,00:22:29.976,1349.9769239231616,2.00409664043309
273,15516,00:22:31.981,1351.9810205635947,1.5684234577304323
274,15534,00:22:33.549,1353.5494440213251,3.1368469154608647
275,15570,00:22:36.686,1356.686290936786,5.140943555893955
276,15629,00:22:41.827,1361.82723449268,4.879539646272406
277,15685,00:22:46.706,1366.7067741389524,7.929251925192375
278,15776,00:22:54.636,1374.6360260641447,2.962577642379756
279,15810,00:22:57.598,1377.5986037065245,4.269597190488184
280,15859,00:23:01.868,1381.8682008970127,2.962577642379756
281,15893,00:23:04.830,1384.8307785393924,3.5725200981635226
282,15934,00:23:08.403,1388.403298637556,6.012289921299953
283,16003,00:23:14.415,1394.415588558856,1.5684234577304323
284,16021,00:23:15.984,1395.9840120165863,4.879539646272178
285,16077,00:23:20.863,1400.8635516628585,1.742692730811541
286,16097,00:23:22.606,1402.60624439367,2.6140390962173115
287,16127,00:23:25.220,1405.2202834898874,2.875443005839088
288,16160,00:23:28.095,1408.0957264957265,2.78830836929842
289,16192,00:23:30.884,1410.884034865025,1.3070195481086557
290,16207,00:23:32.191,1412.1910544131335,1.3070195481086557
291,16222,00:23:33.498,1413.4980739612422,1.3941541846493237
292,16238,00:23:34.892,1414.8922281458915,1.4812888211897643
293,16255,00:23:36.373,1416.3735169670813,2.875443005839088
294,16288,00:23:39.248,1419.2489599729204,3.6596547347041906
295,16330,00:23:42.908,1422.9086147076246,2.439769823136203
296,16358,00:23:45.348,1425.3483845307608,5.140943555893955
297,16417,00:23:50.489,1430.4893280866547,2.875443005839088
298,16450,00:23:53.364,1433.3647710924938,1.9169620038926496
299,16472,00:23:55.281,1435.2817330963865,5.140943555894182
300,16531,00:24:00.422,1440.4226766522806,3.5725200981635226
301,16572,00:24:03.995,1443.9951967504442,4.531001100110188
302,16624,00:24:08.526,1448.5261978505544,4.531001100109961
303,16676,00:24:13.057,1453.0571989506643,4.879539646272178
304,16732,00:24:17.936,1457.9367385969365,1.829827367352209
305,16753,00:24:19.766,1459.7665659642887,3.3111161885419733
306,16791,00:24:23.077,1463.0776821528307,3.398250825082414
307,16830,00:24:26.475,1466.475932977913,4.008193280866635
308,16876,00:24:30.484,1470.4841262587797,1.742692730811541
309,16896,00:24:32.226,1472.2268189895913,2.875443005839088
310,16929,00:24:35.102,1475.1022619954304,5.4894821020563995
311,16992,00:24:40.591,1480.5917440974868,4.879539646272178
312,17048,00:24:45.471,1485.471283743759,9.14913683676059
313,17153,00:24:54.620,1494.6204205805195,2.962577642379756
314,17187,00:24:57.582,1497.5829982228993,2.178365913514426
315,17212,00:24:59.761,1499.7613641364137,2.265500550054867
